event_time_s,event_minute,event_ts_ms,nw_change,score_change,base_mid,first_market_mid,market_move,latency_s,event_type
521.0,8.683333333333334,1778329914659,1228.0,1.0,0.825,0.85,0.025000000000000022,13.408,KILL+NW
937.0,15.616666666666667,1778330332600,1325.0,2.0,0.86,0.875,0.015000000000000013,17.944,KILL+NW
1266.0,21.1,1778330660022,1005.0,1.0,0.875,0.895,0.020000000000000018,23.628,KILL+NW
1049.0,17.483333333333334,1778334457031,320.0,-1.0,0.905,0.94,0.03499999999999992,0.312,KILL
1706.0,28.433333333333334,1778335125064,6622.0,6.0,0.97,0.984,0.014000000000000012,0.563,KILL+NW
2180.0,36.333333333333336,1778342319518,-24908.0,-11.0,0.997,0.505,-0.492,0.422,KILL+NW
2271.0,37.85,1778342362381,-848.0,0.0,0.52,0.535,0.015000000000000013,2.962,NW
2390.0,39.833333333333336,1778342480224,-2387.0,-1.0,0.515,0.495,-0.020000000000000018,0.84,KILL+NW
2450.0,40.833333333333336,1778342539974,-3073.0,-1.0,0.35,0.33999999999999997,-0.010000000000000009,5.018,KILL+NW
2510.0,41.833333333333336,1778342599651,-1700.0,0.0,0.275,0.265,-0.010000000000000009,16.931,NW
2641.0,44.016666666666666,1778342733255,3455.0,1.0,0.33499999999999996,0.375,0.040000000000000036,2.724,KILL+NW
2705.0,45.083333333333336,1778342797684,-1405.0,-1.0,0.305,0.295,-0.010000000000000009,19.347,KILL+NW
2995.0,49.916666666666664,1778343126732,-3984.0,-1.0,0.39,0.33999999999999997,-0.050000000000000044,2.725,KILL+NW
3055.0,50.916666666666664,1778343186370,5952.0,3.0,0.345,0.355,0.010000000000000009,0.473,KILL+NW
3116.0,51.93333333333333,1778343248414,2203.0,0.0,0.6399999999999999,0.695,0.05500000000000005,4.412,NW
3176.0,52.93333333333333,1778343307564,2953.0,0.0,0.515,0.505,-0.010000000000000009,1.841,NW
3236.0,53.93333333333333,1778343368414,-676.0,0.0,0.595,0.585,-0.010000000000000009,3.268,NW
3487.0,58.11666666666667,1778343618864,3224.0,0.0,0.605,0.6200000000000001,0.015000000000000124,1.472,NW
3535.0,58.916666666666664,1778343710872,5684.0,2.0,0.595,0.605,0.010000000000000009,23.276,KILL+NW
3595.0,59.916666666666664,1778343770300,-1630.0,-1.0,0.63,0.6699999999999999,0.039999999999999925,7.147,KILL+NW
3781.0,63.016666666666666,1778343958252,5143.0,1.0,0.745,0.77,0.025000000000000022,3.902,KILL+NW
3891.0,64.85,1778344069333,4408.0,1.0,0.815,0.8049999999999999,-0.010000000000000009,2.081,KILL+NW
3951.0,65.85,1778344129126,-7113.0,-2.0,0.735,0.725,-0.010000000000000009,7.53,KILL+NW
4204.0,70.06666666666666,1778344380925,866.0,1.0,0.6599999999999999,0.6799999999999999,0.020000000000000018,2.418,KILL+NW
4264.0,71.06666666666666,1778344442074,17419.0,3.0,0.815,0.825,0.010000000000000009,1.587,KILL+NW
4325.0,72.08333333333333,1778344503314,-5279.0,-3.0,0.865,0.875,0.010000000000000009,1.205,KILL+NW
4529.0,75.48333333333333,1778344706726,-6579.0,-1.0,0.855,0.845,-0.010000000000000009,3.224,KILL+NW
4586.0,76.43333333333334,1778344762151,-484.0,1.0,0.815,0.85,0.03500000000000003,3.363,KILL
345.0,5.75,1778348605452,-17411.0,-8.0,0.999,0.0010000000000000005,-0.998,0.45,KILL+NW
1123.0,18.716666666666665,1778351978731,-22327.0,-7.0,0.0010000000000000005,0.705,0.704,0.573,KILL+NW
1175.0,19.583333333333332,1778351980088,2492.0,3.0,0.705,0.715,0.010000000000000009,0.3,KILL+NW
1237.0,20.616666666666667,1778352042102,-222.0,1.0,0.725,0.735,0.010000000000000009,1.575,KILL
1297.0,21.616666666666667,1778352102830,293.0,1.0,0.73,0.715,-0.015000000000000013,17.553,KILL
1358.0,22.633333333333333,1778352165068,-106.0,1.0,0.735,0.715,-0.020000000000000018,9.772,KILL
1418.0,23.633333333333333,1778352224699,2277.0,0.0,0.6950000000000001,0.715,0.019999999999999907,18.032,NW
1527.0,25.45,1778352331996,1527.0,1.0,0.7,0.76,0.06000000000000005,4.549,KILL+NW
1483.0,24.716666666666665,1778352332588,-1527.0,-1.0,0.705,0.76,0.05500000000000005,3.957,KILL+NW
1527.0,25.45,1778352333342,1527.0,1.0,0.705,0.76,0.05500000000000005,3.203,KILL+NW
1588.0,26.466666666666665,1778352394380,2381.0,1.0,0.81,0.835,0.02499999999999991,1.011,KILL+NW
1649.0,27.483333333333334,1778352453745,1993.0,1.0,0.875,0.855,-0.020000000000000018,9.56,KILL+NW
1720.0,28.666666666666668,1778352526865,687.0,1.0,0.8300000000000001,0.86,0.029999999999999916,4.611,KILL+NW
