order_id,signal_id,ts_ms,market_id,token_id,side,signal_side,signal_type,edge,market_lag,game_time,intended_price,intended_size,filled,fill_price,fill_ts_ms,exit_bid_15s,pnl_15s,exit_bid_30s,pnl_30s,exit_bid_60s,pnl_60s,exit_bid_120s,pnl_120s,edge_bucket,minute_bucket
2,2,1778331568957,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331570077.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
3,3,1778331569495,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331570077.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
1,1,1778331570275,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331570492.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
4,4,1778331570577,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331571228.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
5,5,1778331571109,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331571228.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
6,6,1778331571640,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331572484.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
7,7,1778331572704,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331573037.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
8,8,1778331573238,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331573786.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
9,9,1778331573782,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331573786.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
10,10,1778331574322,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2174.0,0.92,17.0,1,0.91,1778331575076.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
