Match,Time (m),60s Ago (NW Diff / Score Diff),Current State (NW Diff / Score),ML Edge,Reasoning,Entry PM Price,Exit PM Price,Hold Time (s),Result
90285535170226206,14.6,3852 / 3,5630 / 8-4,+6.3%,Radiant built momentum over 60s (NW shift: 1778). ML sees 92.3% win prob. PM lagging at 86.0%.,0.860,0.870,300.0,TIMEOUT (+1.0%)
90285535170226206,15.3,3852 / 3,5630 / 8-4,+6.8%,Radiant built momentum over 60s (NW shift: 1778). ML sees 92.3% win prob. PM lagging at 85.5%.,0.855,0.875,37.4,TAKE_PROFIT (+2.0%)
90285535170226206,16.3,5630 / 4,6955 / 10-4,+8.0%,Radiant built momentum over 60s (NW shift: 1325). ML sees 95.0% win prob. PM lagging at 87.0%.,0.870,0.875,300.0,TIMEOUT (+0.5%)
90285535170226206,17.3,6955 / 6,8802 / 11-4,+4.7%,Radiant built momentum over 60s (NW shift: 1847). ML sees 91.7% win prob. PM lagging at 87.0%.,0.870,0.895,251.3,TAKE_PROFIT (+2.0%)
90285535170226206,18.3,8306 / 7,8306 / 13-6,+5.1%,Radiant built momentum over 60s (NW shift: 0). ML sees 91.6% win prob. PM lagging at 86.5%.,0.865,0.885,65.5,TAKE_PROFIT (+2.0%)
90285535170226206,19.1,8306 / 7,9412 / 13-6,+4.5%,Radiant built momentum over 60s (NW shift: 1106). ML sees 91.0% win prob. PM lagging at 86.5%.,0.865,0.885,53.3,TAKE_PROFIT (+2.0%)
90285535170226206,21.1,9412 / 7,11750 / 15-6,+6.6%,Radiant built momentum over 60s (NW shift: 2338). ML sees 94.1% win prob. PM lagging at 87.5%.,0.875,0.895,23.6,TAKE_PROFIT (+2.0%)
90285535170226206,22.3,11750 / 9,13190 / 16-6,+5.0%,Radiant built momentum over 60s (NW shift: 1440). ML sees 94.5% win prob. PM lagging at 89.5%.,0.895,0.895,300.0,TIMEOUT (+0.0%)
90285535170226206,31.3,20580 / 13,20580 / 19-6,+7.8%,Radiant built momentum over 60s (NW shift: 0). ML sees 99.3% win prob. PM lagging at 91.5%.,0.915,0.900,300.0,TIMEOUT (-1.5%)
90285535170226206,32.3,20580 / 13,20580 / 19-6,+7.8%,Radiant built momentum over 60s (NW shift: 0). ML sees 99.3% win prob. PM lagging at 91.5%.,0.915,0.900,300.0,TIMEOUT (-1.5%)
90285535170226206,33.3,20580 / 13,22261 / 19-6,+8.9%,Radiant built momentum over 60s (NW shift: 1681). ML sees 99.4% win prob. PM lagging at 90.5%.,0.905,0.900,300.0,TIMEOUT (-0.5%)
90285535170226206,37.2,24771 / 15,32268 / 24-6,+8.2%,Radiant built momentum over 60s (NW shift: 7497). ML sees 98.2% win prob. PM lagging at 90.0%.,0.900,0.905,300.0,TIMEOUT (+0.5%)
90285543564845065,63.0,7226 / 6,12369 / 26-19,+7.6%,Radiant built momentum over 60s (NW shift: 5143). ML sees 93.1% win prob. PM lagging at 85.5%.,0.855,0.735,2.4,STOP_LOSS (-2.0%)
90285543564845065,72.1,27949 / 10,22670 / 33-26,+8.2%,Radiant built momentum over 60s (NW shift: -5279). ML sees 99.7% win prob. PM lagging at 91.5%.,0.915,0.940,0.6,TAKE_PROFIT (+2.0%)
90285550612168704,19.6,9202 / 11,9202 / 23-12,+8.8%,Radiant built momentum over 60s (NW shift: 0). ML sees 83.8% win prob. PM lagging at 75.0%.,0.750,0.715,7.7,STOP_LOSS (-2.0%)
90285550612168704,21.7,8980 / 12,9273 / 25-12,+4.4%,Radiant built momentum over 60s (NW shift: 293). ML sees 74.9% win prob. PM lagging at 70.5%.,0.705,0.725,4.4,TAKE_PROFIT (+2.0%)
90285550612168704,22.7,9273 / 13,9167 / 26-12,+7.8%,Radiant built momentum over 60s (NW shift: -106). ML sees 79.3% win prob. PM lagging at 71.5%.,0.715,0.690,82.6,STOP_LOSS (-2.0%)
90285550612168704,24.7,9167 / 14,11444 / 26-12,+8.3%,Radiant built momentum over 60s (NW shift: 2277). ML sees 78.3% win prob. PM lagging at 70.0%.,0.700,0.665,7.5,STOP_LOSS (-2.0%)
90285550612168704,25.7,11444 / 14,12971 / 27-12,+8.4%,Radiant built momentum over 60s (NW shift: 1527). ML sees 90.4% win prob. PM lagging at 82.0%.,0.820,0.850,48.2,TAKE_PROFIT (+2.0%)
90285550612168704,28.7,17345 / 17,18032 / 31-13,+8.9%,Radiant built momentum over 60s (NW shift: 687). ML sees 99.4% win prob. PM lagging at 90.5%.,0.905,0.865,3.1,STOP_LOSS (-2.0%)
90285550612168704,38.1,8495 / 17,3144 / 41-26,+7.3%,Radiant built momentum over 60s (NW shift: -5351). ML sees 24.8% win prob. PM lagging at 17.5%.,0.175,0.140,13.8,STOP_LOSS (-2.0%)
90285550612168704,42.5,3474 / 14,546 / 41-29,+4.9%,Radiant built momentum over 60s (NW shift: -2928). ML sees 11.9% win prob. PM lagging at 7.0%.,0.070,0.095,9.3,TAKE_PROFIT (+2.0%)
90285550612168704,45.7,-6379 / 11,-6379 / 44-33,+7.8%,Radiant built momentum over 60s (NW shift: 0). ML sees 29.3% win prob. PM lagging at 21.5%.,0.215,0.235,20.2,TAKE_PROFIT (+2.0%)
90285550612168704,46.7,-6379 / 11,-6203 / 44-34,+6.7%,Radiant built momentum over 60s (NW shift: 176). ML sees 28.2% win prob. PM lagging at 21.5%.,0.215,0.235,5.3,TAKE_PROFIT (+2.0%)
90285550612168704,52.3,-11645 / 9,-18360 / 44-37,+8.5%,Radiant built momentum over 60s (NW shift: -6715). ML sees 10.0% win prob. PM lagging at 1.5%.,0.015,0.065,99.4,TAKE_PROFIT (+2.0%)
90285550612168704,53.3,-18360 / 7,-23390 / 46-40,+4.6%,Radiant built momentum over 60s (NW shift: -5030). ML sees 6.6% win prob. PM lagging at 2.1%.,0.021,0.065,22.4,TAKE_PROFIT (+2.0%)
90285550612168704,54.3,-18360 / 7,-24343 / 46-44,+4.6%,Radiant built momentum over 60s (NW shift: -5983). ML sees 5.1% win prob. PM lagging at 0.6%.,0.006,0.001,300.0,TIMEOUT (-0.5%)
90285552507124765,23.7,10897 / 9,10897 / 24-15,+4.4%,Radiant built momentum over 60s (NW shift: 0). ML sees 88.4% win prob. PM lagging at 84.0%.,0.840,0.860,25.1,TAKE_PROFIT (+2.0%)
90285552507124765,26.1,9938 / 10,15403 / 28-15,+7.8%,Radiant built momentum over 60s (NW shift: 5465). ML sees 99.3% win prob. PM lagging at 91.5%.,0.915,0.935,11.1,TAKE_PROFIT (+2.0%)
